"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"25 a 29 anos";"1160926";"560559";"600367";"444534";"210464";"234070";"217968";"108098";"109870";"1479";"607";"872";"495740";"240797";"254943";"1164";"572";"592"
"Rio de Janeiro";"25 anos";"243976";"118747";"125229";"93684";"44410";"49274";"45164";"22540";"22624";"310";"122";"188";"104565";"51556";"53009";"245";"115";"130"
"Rio de Janeiro";"26 anos";"232290";"112235";"120055";"89302";"42348";"46954";"43268";"21410";"21858";"296";"124";"172";"99172";"48226";"50946";"239";"123";"116"
"Rio de Janeiro";"27 anos";"234632";"113262";"121370";"89282";"42267";"47015";"44443";"22005";"22438";"280";"123";"157";"100407";"48751";"51656";"213";"113";"100"
"Rio de Janeiro";"28 anos";"232263";"112130";"120133";"88490";"41819";"46671";"43947";"21908";"22039";"309";"125";"184";"99296";"48173";"51123";"214";"99";"115"
"Rio de Janeiro";"29 anos";"217765";"104185";"113580";"83776";"39620";"44156";"41146";"20235";"20911";"284";"113";"171";"92300";"44091";"48209";"253";"122";"131"
"Rio de Janeiro";"30 a 34 anos";"1162332";"554702";"607630";"456298";"212628";"243670";"211222";"104347";"106875";"1765";"782";"983";"491792";"236356";"255436";"1209";"568";"641"
"Rio de Janeiro";"30 anos";"246969";"118859";"128110";"95897";"45135";"50762";"44831";"22486";"22345";"351";"144";"207";"105638";"50975";"54663";"241";"115";"126"
"Rio de Janeiro";"31 anos";"212212";"101654";"110558";"83912";"39451";"44461";"38835";"19135";"19700";"343";"148";"195";"88868";"42802";"46066";"244";"114";"130"
"Rio de Janeiro";"32 anos";"241848";"114967";"126881";"94488";"43880";"50608";"43440";"21503";"21937";"367";"174";"193";"103290";"49287";"54003";"254";"119";"135"
